vmgebiednaam,vmgebiednr,VMgebiednaamDEF,veiligheidsindex,ipsl_risicoperceptie,ipsl_onveiligheids-gevoelens,ipsl_vermijding,Onveiligheids-belevingindex,Ipersonenoverlast,Iverloedering,overlastindex,HICindex,HVCIndex,criminaliteitsindex,Slachtof_MEAN,HoevCrim_MEAN,VerandCrim_MEAN,OnveiligheidBuurt_MEAN,OnveiligheidAlgemeen_MEAN,rapportcijfer_veiligheid_buurt_MEAN,NietOpen_MEAN,Omloop_MEAN,StrLoopt_MEAN,Alleen_MEAN,Geen_activieit_avond_MEAN,niet_alleen_buiten_MEAN,HoevOverlastBuurt_MEAN,VerandOverlastBuurt_MEAN,risicoperceptie,onveiligheidsgevoelens,vermijding,Rommel_MEAN,Verniel_MEAN,Beklad_MEAN,HondPoep_MEAN,onderhoud_straat_MEAN,onderhoud_groen_MEAN,Dronken_MEAN,Drugs_MEAN,Horeca_MEAN,BuurtWon_MEAN,LastVal_MEAN,Jongeren_MEAN,verloedering,blok_overlast,diefstal_uit_van_auto_sum,autodiefstal_sum,Diefstal_ander_motorvoertuig_sum,fietsdiefstal_sum,beroving_sum,zakkenrollerij_sum,mishandeling_sum,bedreiging_sum,sexuele_int_gew_ sum,overige_diefstal_ sum,vernielingen_sum,inbraak_totaal,brom_snor_samen,inbrwoni,moorddood,straatro,overval,zeden_incl_ kinderporno,mishand_en_ geweld,bedreiging_incl_ chantage,inbrbox,uitauto,zakrolexOV,vermogen,inbrbedr,winkel,vanpersauto,fietsdief,bromsnorfiets,ovvoert_incl_vracht_vaar_motor,drugs_totaal,Boalleprios,Goalleprios,Joalleprios,POalleprios,verniel,won1000,pinbrwoni,zed1000,pzeden_incl_ kinderporno,moorddood1000,pmoorddood,mishand_en_ geweld1000,pmishand_en_ geweld,bedr1000,pbedreiging_incl_ chantage,str1000,pstraatro,ovr1000,poverval,box1000,pinbrbox,uiau1000,puitauto,vaut1000,pvanpersauto,fiets1000,pfietsdief,bromsnor1000,pbromsnorfiets,ovvo1000,povvoert_incl_ vracht_vaar_motor,verm1000,pvermoge,bedrijf1000,pinbrbedr,wink1000,pwinkel,zakr1000,pzakrolexOV,personen1000,ppersonenov,jeugd1000,pjeugdov,geluid1000,pgeluid,buur1000,pburenov,drugs_totaal1000,pdrugstotaal,vern1000,pverniel,poverlastmeld,ipsl_verloedering,ipsl_blok_overlast,psl_vernielingen,ipsl_vernielingen_ sum,psl_diefstal_uit_van_auto,psl_autodiefstal,psl_Diefstal_ander_motorvoertuig,psl_fietsdiefstal,psl_beroving,psl_zakkenrollerij,psl_mishandeling,psl_bedreiging,psl_sexuele_int_ gew,psl_overige_diefstal,psl_inbraak_totaal,psl_brom_snor_ samen,ipsl_diefstal_uit_ van_auto,ipsl_autodiefstal,ipsl_Diefstal_ander_motorvoertuig,ipsl_fietsdiefstal,ipsl_beroving,ipsl_zakkenrollerij,ipsl_mishandeling,ipsl_bedreiging,ipsl_sexuele_int_ gew,ipsl_overige_ diefstal,ipsl_vernielingen,ipsl_inbraak_totaal,ipsl_brom_snor_ samen,Izeden,Imoorddood,Ibedreig,Imishandeling_en_ geweld,Istraatroof,Ioverval,Iinbrwoning,Iinbrbox,Iuitauto,Ivanpersauto,Ifietsdief,Ibromsnorfiets,Ioverigvoertuig,Ivermogen,Iinbrbedr,Iwinkel,Izakrol,N_wijk,pop,nwoninge,nwink,nbedr,werkpers,student,bezoek,nbezoek,verbtot3,verbnieuw,jaar
A00,1,Burgwallen-Oude Zijde,164.824478,117.783303,97.607436,75.942457,97.111065,386.930962,149.418023,268.174492,114.808316,143.567435,129.187876,20.532171,69.75243,51.032056,10.54485,23.008254,43.665185,18.251958,16.926731,17.727873,6.747523,13.106657,7.303735,73.564379,63.987468,63.48284,20.603797,14.254374,54.153247,15.289671,27.662007,37.160022,36.931818,38.938053,57.763788,36.824178,37.365074,12.124761,25.772263,28.380978,35.490547,32.947513,7.588023,0.182434,1.194948,30.90352,0.215164,1.626105,1.20559,2.503619,0.216034,7.441822,36.891183,9.147915,1.464835,23,9,111,3,17,157,76,3,80,1037,933,74,194,4,155,32,27,129,322,315,33,318,103,8.147361,64.975007,0.507902,156.446613,0.268889,106.521111,4.69062,141.104901,2.270618,89.706728,3.316298,279.994225,0.08963,71.994931,0.715308,55.314802,2.390125,35.242955,0.119506,13.172689,4.630867,67.253281,0.95605,49.063965,0.806667,36.741774,27.87483,323.127625,48.177083,256.471836,946.341463,119.303481,30.981992,595.427742,75.822604,749.979367,7.868383,130.045403,75.107296,597.293701,76.776347,834.441422,3.854076,352.19142,6.315045,160.518883,532.790263,126.593225,241.071661,49.564476,195.690699,10.19475,0.245106,1.605451,41.51986,0.28908,2.184724,1.619749,3.363692,0.290249,9.998324,12.290514,1.968052,78.684631,19.33202,81.929248,198.889186,108.118077,108.120504,143.851297,143.852185,143.85415,204.808064,195.690699,139.069926,81.928971,152.249125,106.521111,107.755214,142.020366,222.702175,71.994931,89.673313,55.314802,49.723514,15.225799,111.131916,60.018967,51.804266,283.687772,256.471836,119.303481,432.991996,74.430693,4194,2823,205,1536,5459.323288,1745.709589,80626.136497,87831.169373,33471.056458,16310.25519,2014
A01,2,Burgwallen-Nieuwe Zijde,182.223703,113.940453,105.321044,77.361874,98.874457,472.941648,125.150505,299.046076,115.482656,182.018498,148.750577,21.073736,64.588935,55.363308,17.160489,18.500949,44.149251,19.68432,18.322558,22.238505,7.836679,13.498858,5.377731,73.534467,59.735551,61.411621,22.23205,14.520798,55.36867,19.099093,24.661436,31.236109,37.5,36.666667,54.225703,34.536455,34.126561,9.950428,29.108298,35.555325,34.519075,32.62382,9.913309,2.841956,0.13113,37.26373,0.333287,2.518815,2.027689,4.21085,0.363349,5.96594,31.934246,10.774112,0.160747,24,10,129,8,18,266,110,0,346,1588,1544,116,1263,7,599,85,111,81,539,308,49,621,113,8.072654,64.37922,0.324629,99.993861,0.180349,71.44581,4.797288,144.313737,1.983841,78.376831,2.326504,196.426191,0.144279,115.89221,0,0,6.240082,92.01148,0.126244,13.915412,10.802916,156.888891,1.532968,78.671093,2.001876,91.180701,27.845913,322.792422,64.659978,344.218912,2374.06015,299.29328,28.63945,550.407568,138.461538,1369.555936,10.925307,180.568971,68.673356,546.127538,120.178372,1306.155028,1.460828,133.492747,4.424635,112.467509,707.180044,123.128026,238.703251,39.659527,156.583932,12.311459,3.529459,0.162852,46.278278,0.413913,3.128147,2.518211,5.229506,0.451247,7.409173,13.3805,0.199634,95.02171,278.37606,8.310666,221.683046,154.806364,154.809839,223.64451,223.645891,223.648945,151.771269,156.583932,151.403361,8.310638,141.212222,71.44581,126.799851,170.757328,182.552915,115.89221,93.387267,0,93.01489,102.068961,178.486942,55.217608,63.557356,265.785371,344.218912,299.29328,418.541659,80.520995,4485,2973,532,1794,9325.004712,3872.263014,139691.711119,152888.978845,55447.992948,25538.831671,2014
A02,3,Grachtengordel-West,92.543577,102.573392,64.245413,35.392665,67.403823,132.533763,105.40341600000001,118.968589,83.310556,99.206081,91.258319,12.456273,54.842277,54.821586,5.607576,16.3717,35.302252,10.443726,5.948243,7.007099,3.022897,7.38692,1.605889,56.042251,56.600798,55.285003,13.561461,6.643192,35.878995,9.646839,25.541073,34.285312,29.848485,29.280822,32.655201,16.265915,15.587869,8.520852,5.778412,16.363657,26.80543,16.197673,13.991461,0.55361,3.355316,34.208159,0.360502,2.724494,1.345992,2.795188,0.241193,5.49966,50.367434,15.734773,4.113135,71,1,64,3,4,45,27,5,172,183,229,69,59,10,203,54,52,9,102,211,39,147,51,15.236052,121.507143,0.170123,52.402328,0.042531,16.848705,1.913888,57.574253,1.148333,45.367885,2.721974,229.815554,0.127593,102.488532,0.714184,55.227891,7.315304,107.865888,0.425308,46.880021,8.63376,125.386612,2.296665,117.863621,2.211604,100.733298,9.739562,112.901907,27.811366,148.054463,244.813278,30.863148,7.783143,149.580421,20.997,207.686314,5.570633,92.069126,30.138552,239.678007,14.569347,158.346513,0.382778,34.978801,3.551963,90.285514,146.551752,95.613792,118.515774,41.793196,165.008092,11.609642,0.459367,2.784128,28.384775,0.299132,2.260693,1.116859,2.319353,0.200134,4.563432,13.056183,3.412941,89.604983,36.231248,142.079397,135.969265,111.877649,111.88016,99.18921,99.189823,99.191178,93.478428,165.008092,147.733642,142.078915,67.998612,16.848705,63.308531,71.445905,190.502919,102.488532,130.249309,55.227891,101.77892,43.33043,128.914163,125.935385,114.515331,106.427414,148.054463,30.863148,137.013667,120.515872,7001,4660,241,2481,5594.406466,0,43939.648644,49534.05511,23512.351703,14358.258236,2014
A03,4,Grachtengordel-Zuid,140.350372,103.406449,74.398978,76.575928,84.793785,199.307202,141.148593,170.227898,145.606248,186.45262,166.029434,14.958327,55.990889,54.771995,9.843838,15.386801,35.786837,24.83391,7.261198,12.284653,3.117208,12.526706,6.983312,59.142181,57.253346,55.734004,15.704761,14.373277,42.23227,10.991525,22.479926,32.298062,34.285714,30.097087,30.701656,9.782623,17.973015,11.810876,6.363999,6.723243,28.99853,13.878775,4.029607,0,1.585323,29.588044,0.389329,2.942353,1.039794,2.159313,0.186324,3.180352,31.592794,6.462822,1.943379,31,5,58,3,9,171,41,1,243,847,494,42,39,7,220,48,51,69,192,162,14,122,72,11.532738,91.973308,0.561186,172.859621,0.31177,123.508539,10.662536,320.754206,2.556514,101.001793,3.616533,305.342946,0.187062,150.25735,0.226912,17.547105,15.152024,223.420183,0.436478,48.111211,13.717882,199.222444,2.992992,153.598759,3.180054,144.843943,30.802881,357.069864,27.741083,147.680309,226.744186,28.585211,52.813846,1015.003461,27.683231,273.82141,3.176764,52.504252,36.7597,292.332951,43.567052,473.5072,4.302427,393.162381,7.27266,184.859997,297.065639,103.436487,101.548766,42.262779,166.862105,5.390545,0,2.120742,39.580955,0.520818,3.936087,1.390968,2.888589,0.249253,4.254467,8.645542,2.599725,41.60505,0,108.225556,189.601412,194.78989,194.794262,123.533091,123.533854,123.535541,87.149523,166.862105,97.826243,108.225189,156.418261,123.508539,108.51248,255.013834,268.491927,150.25735,93.924286,17.547105,162.815139,32.074141,196.015433,138.474236,132.637814,267.096417,147.680309,28.585211,741.600395,74.753233,4407,2688,172,1514,5432.009753,0,29459.373638,34891.383392,16037.461131,9900.091623,2014
A04,5,Nieuwmarkt/Lastage,122.442679,107.732516,81.296984,63.867503,84.299001,205.414837,121.546151,163.480494,116.992651,122.104433,119.548542,14.761116,61.774158,52.42968,10.563791,17.593926,39.022312,14.862881,11.975906,14.183317,3.795335,14.579893,8.449698,61.421959,60.161663,58.065668,17.16085,11.987909,42.522683,12.209094,25.504961,38.363597,31.944444,31.390135,38.90844,31.06794,13.841562,13.546615,14.417767,16.938218,31.010147,21.311374,9.553337,0,2.571888,55.667334,0.762856,5.76529,3.813303,7.91899,0.68332,8.698316,69.132654,7.047064,3.152766,53,9,78,3,7,73,60,6,477,192,404,46,117,11,228,46,63,79,172,242,110,364,74,8.808376,70.246588,0.289842,89.278736,0.372654,147.627898,3.022638,90.928087,2.48436,98.151157,3.229668,272.680101,0.124218,99.777971,0.635391,49.134868,19.750664,291.228219,0.455466,50.20418,9.440569,137.103763,1.904676,97.746957,2.608578,118.814558,16.728026,193.912836,23.945862,127.476357,1054.054054,132.882604,7.949953,152.786255,38.547072,381.278236,11.64884,192.527241,25.627449,203.80328600000001,18.21455,197.964294,3.271074,298.915821,4.539969,115.399139,254.897776,110.611836,155.931899,42.207316,166.643123,5.832565,0,1.570206,33.986381,0.465744,3.519862,2.328122,4.834753,0.417185,5.310552,4.302419,1.924847,45.016626,0,80.130629,162.80218,174.191643,174.195553,206.76256,206.763836,206.76666,108.782623,166.643123,48.682841,80.130358,128.441377,147.627898,134.355383,129.539578,239.850615,99.777971,63.058672,49.134868,209.157688,33.469453,145.669902,91.874757,105.919915,165.536099,127.476357,132.882604,159.922688,163.793061,9443,6017,111,1921,6437.460384,2217.205479,35469.593331,44124.259194,24151.086398,16299.669979,2014
A05,6,Haarlemmerbuurt,95.581491,95.599482,75.213854,70.099113,80.30415,135.644623,99.755843,117.700233,74.000664,103.479515,88.740089,14.016066,50.482305,53.073345,9.249413,16.2622,36.496196,18.113585,7.779658,11.707607,5.11747,15.983944,7.432952,53.936439,55.082305,51.526205,15.876772,13.157581,42.698057,10.329287,19.559476,46.857609,30.337079,29.017857,22.234852,16.582738,7.611445,13.453665,7.692112,19.453732,29.173025,14.691858,16.923868,2.559912,0.752235,46.041594,1.095281,8.277589,2.246285,4.664804,0.40252,8.702747,47.256324,12.431324,0.922132,42,2,22,0,5,43,40,21,88,62,160,57,42,10,146,35,56,47,114,111,59,255,46,7.549883,60.210136,0.251512,77.472103,0.100605,39.854858,2.163003,65.068231,2.012096,79.493114,1.106653,93.434415,0,0,2.253219,174.241627,4.426611,65.271425,0.503024,55.446296,7.34415,106.657827,1.760584,90.352216,2.816934,128.304675,8.048383,93.297611,30.530262,162.52857,285.714286,36.01946,3.118749,59.937703,27.360515,270.629347,6.330472,104.627438,11.909871,94.713715,12.23176,132.940512,2.364213,216.045396,3.259571,82.853361,163.791282,104.0589,107.497964,30.558606,120.651634,10.943928,1.655384,0.486438,29.773094,0.70827,5.352757,1.452575,3.016525,0.260292,5.627687,8.038796,0.596303,84.466904,130.563688,24.823856,142.619613,264.898297,264.904243,129.004408,129.005204,129.006966,115.27889,120.651634,90.960778,24.823771,94.650391,39.854858,95.997144,86.38029,150.589042,0,70.46035,174.241627,71.669918,80.485427,118.645089,68.509401,93.811069,100.624704,162.52857,36.01946,128.259883,154.641621,9320,5563,147,1867,3995.387945,0,27683.917703,31679.305648,19879.768549,14112.285695,2014
A06,7,Jordaan,100.306828,99.022929,69.412067,57.166149,75.200381,133.2957,124.016713,128.656207,91.739338,102.388454,97.063896,12.449213,51.003468,55.972611,6.837793,16.41013,35.042715,15.680384,6.303864,10.848473,5.109957,12.552485,7.729235,54.394423,54.972731,53.371374,14.652082,10.730067,37.89995,10.44502,29.541066,44.362972,31.930693,30.369718,32.021446,16.09935,19.012471,17.467696,7.987794,15.177584,30.555357,18.06681,23.490183,1.744713,7.548861,98.789672,1.233722,9.323862,5.706643,11.850841,1.022594,20.428889,138.739424,19.119105,9.25382,101,6,43,4,16,98,59,9,240,221,353,82,37,18,360,97,94,20,209,515,99,392,124,7.823393,62.391368,0.505899,155.829715,0.189712,75.154931,3.09863,93.214092,1.865502,73.701527,1.359603,114.790937,0.126475,101.590643,0.465285,35.980501,7.588481,111.893954,0.569136,62.73357,11.382722,165.309317,3.067011,157.397363,2.972155,135.374624,11.161391,129.383889,23.482245,125.008284,160.869565,20.280522,6.987727,134.293698,20.265729,200.453137,5.118131,84.590356,26.624619,211.733318,10.804942,117.433191,0.632373,57.787261,4.962511,126.139507,134.399453,108.98962,132.191948,41.753763,164.852403,7.069393,0.525073,2.271837,29.730847,0.37129,2.806025,1.71742,3.566522,0.307751,6.148094,5.753913,2.784946,54.562651,41.413644,115.936216,142.417241,138.865151,138.868268,152.525508,152.52645,152.528533,125.939023,164.852403,65.106816,115.935823,154.729321,75.154931,99.976501,112.984564,122.815675,101.590643,63.296517,35.980501,92.78352,55.626928,157.678625,143.57685,128.895155,128.2356,125.008284,20.280522,135.818555,332.280051,19343,12910,230,3492,4981.897753,175.068493,31694.677792,36851.644039,31626.881346,24987.35087,2014
A07,8,Weteringschans,142.508262,101.890899,68.405738,51.726351,74.007663,216.431775,129.021534,172.726655,147.152902,214.428036,180.790469,11.740165,53.286376,53.480587,6.437165,15.518959,36.171418,15.150372,8.721524,8.622912,5.958253,11.590835,5.087243,60.543225,54.294481,54.917153,14.439657,9.709019,43.359791,16.107335,19.621816,29.286414,33.680556,27.430556,36.333764,12.412886,24.768093,11.205835,7.834101,15.987933,28.038809,18.286123,13.567665,0,2.488292,74.969139,0.427883,3.233725,0.577801,1.199905,0.103538,9.171765,28.798543,7.605265,3.050289,39,8,59,4,14,258,52,3,191,1011,769,58,25,16,418,71,47,90,254,248,46,214,96,8.635961,68.871581,0.770703,237.396065,0.440402,174.46624,14.202949,427.25818400000003,2.86261,113.094896,3.247961,274.224557,0.220201,176.875995,0.411015,31.783844,10.514586,155.040061,0.880803,97.087354,23.010979,334.184498,3.908563,200.58537,2.587359,117.848065,42.333596,490.734988,29.426687,156.65366,213.675214,26.937631,55.655742,1069.620463,29.319085,290.002026,6.302233,104.160717,33.977257,270.205462,34.799288,378.215011,4.954517,452.751408,7.528117,191.35334,299.066925,100.013204,133.796625,23.145435,91.382916,10.904354,0,1.999844,60.252816,0.34389,2.59895,0.46438,0.964365,0.083214,7.371362,6.112363,2.451522,84.161465,0,102.055914,288.624134,128.617354,128.620241,41.241947,41.242201,41.242764,150.996749,91.382916,69.162761,102.055568,172.011632,174.46624,89.143998,298.586105,225.688823,176.875995,68.968641,31.783844,131.413862,64.724903,318.99771,167.742103,112.584014,377.488908,156.65366,26.937631,755.953722,124.424289,7299,4516,117,1971,6616.086795,488.219178,25494.419315,32598.725288,18165.241763000002,12752.192076,2014
A08,9,Weesperbuurt/Plantage,98.165282,97.394115,89.388246,70.292094,85.691485,115.206767,101.286421,108.246594,94.141854,106.973681,100.557768,18.573541,54.55123,50.982153,11.620689,19.894515,37.415929,19.587871,9.424798,17.101805,6.473042,13.772352,7.200411,53.196848,54.927999,52.493477,18.868822,13.193803,35.672851,7.127047,18.60865,27.875122,28.293413,27.710843,23.12218,25.841408,4.434817,13.590706,8.099724,16.486307,24.757016,15.201734,22.781194,1.217284,2.215241,46.070764,0.519051,3.922728,1.589414,3.300696,0.284813,6.906799,50.337451,10.735223,2.715568,45,3,26,3,5,27,33,3,180,30,134,22,11,13,207,23,41,17,70,139,20,153,42,10.691376,85.263462,0.36358,111.991992,0.218148,86.419978,1.963333,59.061698,2.39963,94.803655,1.890617,159.624358,0.218148,175.227249,0.390523,30.199203,13.08889,192.998775,0.945309,104.197553,15.052223,218.60085,1.672469,85.83022,2.981358,135.793798,9.743951,112.95279,16.962221,90.29878,687.5,86.671827,2.181482,41.924828,19.916688,197.000691,2.603489,43.029389,18.094246,143.895199,9.11221,99.035784,1.236173,112.963387,3.764929,95.698779,119.18489,88.307192,111.228644,38.346389,151.399394,17.354406,0.92731,1.687541,35.096085,0.395406,2.988281,1.210794,2.514426,0.216967,5.261506,8.177947,2.068683,133.943942,73.138953,86.118467,168.117904,147.884668,147.887987,107.531665,107.532329,107.533798,107.777947,151.399394,92.535309,86.118175,110.505927,86.419978,99.046547,75.218354,155.711128,175.227249,87.687411,30.199203,173.313831,93.844686,201.773201,85.926205,119.235354,111.227843,90.29878,86.671827,77.245881,131.27038,7682,4209,16,1297,5747.014356,4525.238356,7938.111709,18210.364421,13752.121474,11155.59021,2014
A09,10,Oost. eilanden/Kadijken,85.083531,95.548347,74.492646,56.757724,75.599572,98.316511,90.216545,94.266528,70.922808,99.846176,85.384492,13.83894,51.691816,53.152603,8.758884,15.163995,38.250745,15.759108,9.622797,11.747784,3.822803,10.704176,5.191925,53.181347,51.32661,51.498645,15.724533,10.653406,32.341522,12.270562,17.152534,39.737467,27.663934,25.823045,13.34026,14.91637,6.690428,16.760671,6.337656,30.311038,25.925051,14.891226,13.2349,1.143567,3.752656,55.411892,0.470409,3.555121,2.593967,5.386827,0.464822,9.593927,35.401797,20.401745,4.600218,64,3,19,1,3,40,27,10,169,23,92,17,34,16,127,27,55,8,87,169,102,107,56,8.607935,68.648077,0.200777,61.844322,0.200777,79.538201,2.677022,80.531126,1.80699,71.389858,1.271585,107.359635,0.066926,53.757863,0.773694,59.829859,11.310417,166.774775,1.070809,118.030912,8.499544,123.437419,1.80699,92.733738,3.680905,167.656494,6.15715,71.374258,9.653606,51.391198,1478.26087,186.361556,1.539288,29.582814,8.27853,81.884905,7.891683,130.430486,13.075435,103.982908,6.731141,73.157206,0.535404,48.926076,3.913794,99.482709,87.676316,92.473521,108.956706,16.441217,64.91329,6.14652,0.531093,1.742799,25.734256,0.218466,1.651061,1.204684,2.501737,0.215872,4.455588,9.474929,2.136422,47.439779,41.888411,88.938414,123.272702,81.708021,81.709855,106.989025,106.989686,106.991147,91.26934,64.91329,107.210948,88.938113,76.893264,79.538201,83.256468,89.350426,98.809097,53.757863,81.502368,59.829859,126.996443,92.650078,123.382514,91.468529,141.417134,78.005952,51.391198,186.361556,46.958494,215.323462,12925,7435,23,1761,3009.603288,0,3041.330192,6050.933479,14941.977826,14308.36737,2014
