regio,jaar, (Vuur)wapenmisdrijven, Aanranding, Afpersing en afdreiging, Bankbreuk, Bedreiging, Bedreiging en stalking, Bedrog, Bedrog (overig), Brandstichting/ontploffing, Computervredebreuk, Diefstal en inbraak met geweld, Diefstal en inbraak zonder geweld, Diefstal/verduistering en inbraak, Dierenmishandeling, Discriminatie, Drugsmisdrijf (overig), Drugsmisdrijven, Flessentrekkerij, Gewelds- en seksuele misdrijven, Geweldsmisdrijf (overig), Harddrugs, Heling, Huisvredebreuk, Joyriding, Levensmisdrijf, Lokaalvredebreuk," Mensenhandel, mensensmokkel", Militair misdrijf, Misdrijf (overig), Misdrijven overige wetten, Misdrijven WvSr (overig), Mishandeling, Muntmisdrijf, Niet opvolgen van ambtelijk bevel, Ontucht met minderjarige, Ontucht met misbruik van gezag, Openbaar gezag misdrijf, Openbaar gezag misdrijf (overig), Openbare orde misdrijf, Openbare orde misdrijf (overig), Openlijk geweld tegen goed, Openlijk geweld tegen persoon, Openlijke geweldpleging, Oplichting, Pornografie, Rijden onder invloed, Rijden tijdens ontzegging, Rijden tijdens rijverbod, Schennis der eerbaarheid, Seksueel misdrijf, Seksueel misdrijf (overig), Softdrugs, Stalking, Valse aangifte, Valsheid in geschriften, Valsheid in zegels en merken, Valsheidsmisdrijf, Verblijf ongewenste vreemdeling, Verkeersmisdrijf (overig), Verkeersmisdrijven, Verkrachting, Verlaten plaats ongeval, Vermogensmisdrijf (overig), Vermogensmisdrijven, Vernieling aan auto, Vernieling aan openbaar gebouw, Vernieling en beschadiging, Vernieling middel openbvervoer," Vernieling, beschadiging (overig)"," Vernielingen, misdropenborde/gezag", Voeren vals kenteken, Vrijheidsbeneming/gijzeling, Wederspannigheid, Weigeren blaastest/bloedonderzoek, Witwassen,"Misdrijven, totaal",'s Avonds alleen thuis onveilig,'s Avonds op straat in buurt onveilig,Bang slachtoffer criminaliteit te worden,Bij treinstation in woonplaats,Denkt dat er veel criminaliteit in buurt,Doet 's avonds niet open,"Door bekenden (partner, familie, vriend)",Door onbekenden in openbaar vervoer,Door onbekenden op straat,Door personeel van overheidsinstanties,Door personeel van winkels en bedrijven,In centrum van woonplaats,In eigen huis,In openbaar vervoer,In winkelgebied/winkelcentrum,Op plekken waar jongeren rondhangen,Rapportcijfer veiligheid in buurt,Rijdt of loopt om,Rondom uitgaansgelegenheden,Van beroving op straat,Van inbraak in woning,Van mishandeling,Van zakkenrollerij,Vindt criminaliteit in buurt afgenomen,Vindt criminaliteit in buurt gelijk,Vindt criminaliteit in buurt toegenomen,Voelt zich vaak onveilig,Voelt zich vaak onveilig in buurt,Voelt zich wel eens onveilig,Voelt zich wel eens onveilig in buurt,gem_veiligheidsgevoel
Drenthe,2015,305,165,70,15,1595,1730,1470,130,300,75,175,13615,13790,0,20,15,680,20,5935,60,225,390,120,15,180,45,35,0,230,230,565,3270,210,170,50,75,220,15,745,120,65,305,370,1325,45,1560,210,0,95,630,115,450,135,20,620,0,830,0,205,3625,85,1590,0,16610,1275,95,3430,15,2050,4705,35,20,15,15,35,32655,1.3,1.4,1.6,11.9,5.4,5.2,6.4,7.7,15,11.3,10.5,12.1,7.1,10.1,11.3,32.1,7.5,1.3,17.6,1.3,7.1,1.4,2,2.7,51.6,11,0.7,0.9,26.4,13.6,9.85
Drenthe,2016,295,90,40,20,1215,1350,1625,425,225,55,210,12335,12540,0,25,0,700,0,5005,75,315,235,115,5,230,15,30,0,230,230,455,2880,165,120,35,60,180,15,600,80,30,280,310,1205,15,1505,195,0,80,435,75,385,140,15,860,5,1035,0,190,3480,75,1535,0,15505,1035,65,3040,20,1930,4040,40,15,30,15,5,29725,1.5,2.1,2.2,11.4,5.5,6,6.6,6.7,16,9.1,10.5,11.3,6.8,9.8,10.2,31.2,7.5,1.3,15.8,0.7,6.5,1.4,1.4,3.2,51.7,12,0.9,0.7,30.6,13.9,9.816666666666666
Drenthe,2017,260,100,70,15,1135,1270,1200,80,170,75,195,10055,10250,0,20,25,675,0,4475,45,250,205,105,15,235,15,5,0,125,125,365,2490,30,95,25,20,145,15,480,75,35,150,185,1130,30,1630,270,0,70,400,85,400,140,15,880,0,910,0,95,3530,60,1460,0,12665,1080,60,2610,5,1465,3405,40,15,30,15,25,25495,1.5,2.2,1.9,11.2,4.7,6,6.1,8.5,14.6,9.4,10.7,11.9,7.3,10,10.2,30.7,7.5,1.4,17.4,1.1,6.8,1.2,1.8,2.7,51.6,10.9,1,0.8,29.3,13.2,9.786666666666667
Flevoland,2015,365,40,125,10,1500,1590,1135,35,195,75,580,14810,15390,0,20,15,1695,5,5205,45,875,365,100,20,235,35,5,0,170,170,535,3025,255,105,40,50,210,15,795,210,50,315,365,1085,40,2160,405,15,40,270,30,810,95,20,975,15,1245,15,310,4805,40,1845,0,18290,1035,50,2915,50,1775,4110,20,35,60,25,20,35195,2.2,5,3.6,28.6,11.9,10.8,8.1,17.2,22.1,15.6,18.3,22.4,8.6,22.2,18,43.1,7.2,2.7,24.6,2.8,12.5,3,3,5.5,51.5,13.7,1.2,1.4,37.9,20.6,14.843333333333334
Flevoland,2016,350,125,85,5,1515,1610,1280,120,225,85,495,13430,13925,0,25,0,2020,0,5670,55,970,420,135,15,240,55,20,0,190,190,650,3370,165,105,40,30,225,20,920,170,75,360,440,1155,25,2165,405,15,35,355,30,1050,100,25,960,0,1130,0,365,4780,65,1735,0,16880,1095,30,2965,165,1665,4325,25,20,60,60,30,34865,2.3,3.1,2.9,25.6,10.7,9.6,6.9,15.2,21.4,12.6,16.4,21.8,8.5,23.7,17.7,44.4,7.2,3.4,24.7,2.5,11.2,2.2,2.6,5.5,49.6,14.5,1.7,1.5,38.4,16.8,14.153333333333332
Flevoland,2017,350,55,85,10,1390,1475,1045,75,180,80,450,12285,12735,0,10,0,1810,0,4925,25,1005,295,100,5,140,45,10,0,155,155,680,3000,135,50,25,25,155,30,755,140,75,310,385,975,10,1890,420,0,55,255,45,805,90,25,880,0,1020,0,225,4345,40,1725,0,15190,935,50,2580,140,1450,3665,15,20,45,45,0,31125,3.1,4.5,4.4,27,11.8,10.9,6.9,15.7,21.5,9.9,15,21.6,9.4,22.7,17.6,43.7,7.2,3.5,24.9,2.9,12.4,2.8,3.1,5.2,47.6,15.3,2.4,2.2,36.5,19.9,14.386666666666667
Friesland,2015,300,110,70,15,1880,2100,1770,95,295,100,270,18500,18775,0,20,15,1450,20,7420,95,790,405,360,20,230,45,45,0,340,345,680,4215,260,135,80,70,260,5,1150,290,120,215,335,1655,80,2960,495,15,175,730,115,650,215,35,750,5,1010,30,440,6240,95,2255,0,22045,1725,145,4875,30,2970,6585,40,15,60,30,15,45065,1.5,2.2,2,8.6,5.2,4.6,7.6,7,15.2,9.2,10.1,12.8,6.8,9.3,9.2,32.4,7.5,1.3,20.4,1,6.8,1.5,1.3,2.7,52.4,9.3,1,0.7,28.1,12.3,9.666666666666666
Friesland,2016,270,140,70,15,1725,1900,1845,115,255,75,225,15705,15935,0,25,5,1080,0,6930,65,600,295,300,20,270,30,35,0,445,445,725,3995,140,205,90,45,295,0,1135,335,125,250,370,1730,50,3015,530,0,130,655,120,465,170,20,1200,5,1350,15,475,6170,85,2070,0,19520,1590,85,4290,15,2600,5975,35,15,45,15,15,41105,1.7,1.6,1.5,9,3.9,3.9,7.2,7.7,14.1,8.4,9.6,11.2,6.1,9.5,8.9,29.2,7.7,0.9,18,0.9,5.1,1.3,1.3,3.2,49.1,8.7,0.8,0.9,27.1,11.1,8.986666666666666
Friesland,2017,280,95,50,0,1490,1680,1790,110,200,100,150,12635,12785,0,15,0,1105,0,6010,75,580,295,295,20,235,65,30,0,235,235,680,3470,100,120,40,40,220,15,975,285,60,160,210,1685,30,2870,495,0,100,505,110,520,185,20,1410,5,1525,0,265,5750,90,2000,0,16470,1390,80,4000,35,2495,5390,45,20,45,45,30,35920,1.5,1.7,1.4,7.8,3.5,4.6,7.2,7.1,15,9.1,9,11.2,5.3,8,8.5,28.3,7.7,1.1,18.2,0.6,5,1.9,1,2.7,52.3,7.4,0.9,1.1,27.8,11.1,8.933333333333334
Gelderland,2015,1425,415,285,45,6455,7075,4910,345,755,300,1355,67575,68930,0,110,50,3845,55,23345,215,1915,2250,500,80,940,115,155,40,1055,1090,3200,12815,425,715,270,185,1170,65,3450,330,330,1765,2095,4505,275,7905,955,30,400,2050,190,1880,620,150,2525,75,3025,45,1475,19095,310,8430,0,79585,5950,280,14220,175,7810,19590,115,90,195,90,145,151185,1.9,2.3,2.5,14.8,6.8,7.5,5.8,11.3,17.6,10.4,12.3,13.8,8.1,14.8,10.9,36.7,7.4,1.6,21.2,1.7,9.7,1.7,3,3.6,51.9,10.7,1.5,1.4,34.1,15.1,11.403333333333334
