Onderwerp,Perioden,Waarde_Groningen (PV)_2015,Waarde_Groningen (PV)_2016,Waarde_Groningen (PV)_2017,Waarde_Friesland (PV)_2015,Waarde_Friesland (PV)_2016,Waarde_Friesland (PV)_2017,Waarde_Drenthe (PV)_2015,Waarde_Drenthe (PV)_2016,Waarde_Drenthe (PV)_2017,Waarde_Overijssel (PV)_2015,Waarde_Overijssel (PV)_2016,Waarde_Overijssel (PV)_2017,Waarde_Flevoland (PV)_2015,Waarde_Flevoland (PV)_2016,Waarde_Flevoland (PV)_2017,Waarde_Gelderland (PV)_2015,Waarde_Gelderland (PV)_2016,Waarde_Gelderland (PV)_2017,Waarde_Utrecht (PV)_2015,Waarde_Utrecht (PV)_2016,Waarde_Utrecht (PV)_2017,Waarde_Noord-Holland (PV)_2015,Waarde_Noord-Holland (PV)_2016,Waarde_Noord-Holland (PV)_2017,Waarde_Zuid-Holland (PV)_2015,Waarde_Zuid-Holland (PV)_2016,Waarde_Zuid-Holland (PV)_2017,Waarde_Zeeland (PV)_2015,Waarde_Zeeland (PV)_2016,Waarde_Zeeland (PV)_2017,Waarde_Noord-Brabant (PV)_2015,Waarde_Noord-Brabant (PV)_2016,Waarde_Noord-Brabant (PV)_2017,Waarde_Limburg (PV)_2015,Waarde_Limburg (PV)_2016,Waarde_Limburg (PV)_2017,Marges_Groningen (PV)_2015,Marges_Groningen (PV)_2016,Marges_Groningen (PV)_2017,Marges_Friesland (PV)_2015,Marges_Friesland (PV)_2016,Marges_Friesland (PV)_2017,Marges_Drenthe (PV)_2015,Marges_Drenthe (PV)_2016,Marges_Drenthe (PV)_2017,Marges_Overijssel (PV)_2015,Marges_Overijssel (PV)_2016,Marges_Overijssel (PV)_2017,Marges_Flevoland (PV)_2015,Marges_Flevoland (PV)_2016,Marges_Flevoland (PV)_2017,Marges_Gelderland (PV)_2015,Marges_Gelderland (PV)_2016,Marges_Gelderland (PV)_2017,Marges_Utrecht (PV)_2015,Marges_Utrecht (PV)_2016,Marges_Utrecht (PV)_2017,Marges_Noord-Holland (PV)_2015,Marges_Noord-Holland (PV)_2016,Marges_Noord-Holland (PV)_2017,Marges_Zuid-Holland (PV)_2015,Marges_Zuid-Holland (PV)_2016,Marges_Zuid-Holland (PV)_2017,Marges_Zeeland (PV)_2015,Marges_Zeeland (PV)_2016,Marges_Zeeland (PV)_2017,Marges_Noord-Brabant (PV)_2015,Marges_Noord-Brabant (PV)_2016,Marges_Noord-Brabant (PV)_2017,Marges_Limburg (PV)_2015,Marges_Limburg (PV)_2016,Marges_Limburg (PV)_2017
|||Voelt zich wel eens onveilig,%,"32,9","33,4","33,7","28,1","27,1","27,8","26,4","30,6","29,3","31,7","31,8","30,0","37,9","38,4","36,5","34,1","32,9","32,8","38,8","36,5","36,8","36,7","35,7","35,2","37,8","37,0","35,6","32,1","27,0","27,0","35,4","34,9","34,3","39,0","36,6","36,3","2,0","2,1","2,1","2,0","2,0","2,0","2,2","2,4","1,2","1,5","1,6","1,5","2,9","2,5","1,9","1,2","1,1","1,1","1,6","1,5","1,5","1,0","0,9","0,9","0,7","0,8","0,7","2,6","2,5","1,9","1,1","1,1","1,0","1,5","1,5","1,4"
|||Voelt zich vaak onveilig,%,"1,3","1,0","1,3","1,0","0,8","0,9","0,7","0,9","1,0","1,4","1,3","1,2","1,2","1,7","2,4","1,5","1,2","1,0","1,8","1,4","1,0","2,0","1,8","1,9","2,1","2,1","2,1","1,2","0,8","1,1","1,3","1,4","1,5","2,3","2,1","1,8","0,5","0,5","0,5","0,4","0,4","0,4","0,4","0,5","0,3","0,4","0,4","0,4","0,6","0,6","0,7","0,3","0,3","0,2","0,5","0,4","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,7","0,5","0,5","0,3","0,3","0,3","0,5","0,4","0,4"
||||Van zakkenrollerij ,% '(heel) groot',"2,6","1,5","2,0","1,3","1,3","1,0","2,0","1,4","1,8","2,5","2,3","1,7","3,0","2,6","3,1","3,0","2,5","2,3","3,7","2,3","2,6","4,5","4,1","4,1","5,0","4,5","4,3","3,1","2,7","2,1","3,4","3,0","2,8","4,7","3,0","3,1","0,7","0,5","0,7","0,5","0,6","0,4","0,8","0,6","0,4","0,5","0,5","0,4","1,0","0,8","0,6","0,4","0,4","0,4","0,6","0,5","0,5","0,4","0,4","0,4","0,3","0,4","0,3","1,0","0,9","0,7","0,4","0,4","0,4","0,7","0,5","0,5"
|||Van beroving op straat ,% '(heel) groot',"1,6","1,1","0,7","1,0","0,9","0,6","1,3","0,7","1,1","1,2","1,2","1,1","2,8","2,5","2,9","1,7","1,4","1,1","1,8","1,4","1,4","3,1","2,4","2,5","3,7","3,4","3,1","1,8","0,9","1,8","2,0","1,9","1,8","3,4","2,0","1,9","0,6","0,5","0,4","0,5","0,5","0,3","0,6","0,4","0,4","0,4","0,4","0,3","0,9","0,8","0,6","0,3","0,3","0,3","0,5","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,8","0,5","0,6","0,3","0,3","0,3","0,6","0,4","0,4"
|||Van inbraak in woning,% '(heel) groot',"7,2","5,9","6,2","6,8","5,1","5,0","7,1","6,5","6,8","8,0","7,2","5,9","12,5","11,2","12,4","9,7","7,7","7,9","10,9","9,2","9,6","11,7","10,0","9,8","13,2","11,0","10,9","8,5","7,6","6,4","11,0","9,2","8,6","13,2","10,6","10,5","1,2","1,1","1,1","1,1","1,0","1,0","1,3","1,3","0,7","0,9","0,9","0,8","2,0","1,7","1,3","0,7","0,6","0,6","1,1","0,9","0,9","0,7","0,6","0,5","0,5","0,5","0,5","1,5","1,5","1,1","0,7","0,7","0,6","1,1","0,9","0,9"
|||Van mishandeling ,% '(heel) groot',"2,0","1,6","1,7","1,5","1,3","1,9","1,4","1,4","1,2","1,8","1,2","1,6","3,0","2,2","2,8","1,7","2,0","1,6","2,0","1,7","1,7","3,0","2,4","2,4","3,3","3,0","3,0","1,9","2,0","2,1","2,0","2,0","2,1","3,2","2,3","2,1","0,6","0,6","0,6","0,6","0,6","0,7","0,6","0,6","0,3","0,5","0,4","0,4","1,1","0,8","0,7","0,3","0,4","0,3","0,5","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,8","0,8","0,7","0,3","0,3","0,3","0,6","0,5","0,4"
|||||Voelt zich wel eens onveilig in buurt,%,"18,3","14,7","15,8","12,3","11,1","11,1","13,6","13,9","13,2","15,3","13,3","12,8","20,6","16,8","19,9","15,1","14,0","13,6","18,2","16,2","16,7","19,5","17,4","17,9","20,6","19,0","18,4","14,7","13,3","13,6","17,3","16,5","16,4","21,5","18,9","19,5","1,7","1,6","1,6","1,5","1,5","1,4","1,7","1,8","0,9","1,2","1,2","1,1","2,4","1,9","1,5","0,9","0,9","0,8","1,3","1,2","1,1","0,8","0,7","0,7","0,6","0,7","0,6","1,9","2,0","1,6","0,9","0,9","0,8","1,3","1,2","1,1"
|||Voelt zich vaak onveilig in buurt,%,"1,6","0,9","1,5","0,7","0,9","1,1","0,9","0,7","0,8","1,3","1,2","1,0","1,4","1,5","2,2","1,4","1,2","0,9","1,4","1,1","1,2","1,9","1,7","1,5","2,2","2,0","2,1","1,1","1,0","1,1","1,4","1,3","1,4","2,1","1,7","2,3","0,6","0,4","0,6","0,4","0,5","0,5","0,5","0,4","0,2","0,4","0,4","0,3","0,6","0,6","0,6","0,3","0,3","0,2","0,4","0,4","0,4","0,3","0,3","0,2","0,2","0,2","0,2","0,6","0,5","0,6","0,3","0,3","0,3","0,4","0,4","0,5"
|||'s Avonds op straat in buurt onveilig,% komt vaak voor,"2,9","2,6","2,1","2,2","1,6","1,7","1,4","2,1","2,2","2,7","2,2","2,2","5,0","3,1","4,5","2,3","2,2","2,3","3,4","2,6","2,9","3,7","3,6","3,5","4,5","4,0","4,1","2,8","2,1","2,3","3,3","3,0","3,1","4,9","4,0","4,2","0,7","0,7","0,6","0,6","0,6","0,6","0,6","0,8","0,4","0,5","0,5","0,5","1,4","0,9","0,8","0,4","0,4","0,4","0,6","0,5","0,5","0,4","0,4","0,3","0,3","0,3","0,3","0,9","0,8","0,7","0,4","0,4","0,4","0,7","0,6","0,6"
|||'s Avonds alleen thuis onveilig,% komt vaak voor,"2,5","1,6","1,4","1,5","1,7","1,5","1,3","1,5","1,5","1,8","1,8","1,5","2,2","2,3","3,1","1,9","1,7","1,5","2,1","1,6","1,8","2,5","2,1","2,1","3,0","2,4","2,3","2,4","1,8","1,6","2,3","1,9","2,1","3,3","3,0","2,8","0,7","0,6","0,5","0,5","0,6","0,5","0,6","0,6","0,3","0,4","0,5","0,4","0,8","0,8","0,8","0,4","0,3","0,3","0,5","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,2","0,9","0,7","0,5","0,3","0,3","0,3","0,6","0,5","0,5"
